id,name,job,job_cat,pic_url,season,skin_tone,eye_color,hair_color,contrast_level,best_color1,best_color2,best_color3,best_color4,best_color5,worst_color1,worst_color2,worst_color3,worst_color4,worst_color5
34,Marc Jacobs,Fashion design,Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Marc_Jacobs-3325_%28cropped%29.jpg/1280px-Marc_Jacobs-3325_%28cropped%29.jpg,clear winter,cool,light hazel with grey and green flecks,salt and pepper,high,#0a75ad,#c0003c,#4c2d73,#0093b2,#d6001c,#c2b280,#926f34,#d4a59a,#f4e4b5,#a67b5b
35,Margot Robbie,"The Wolf of Wall Street, Harley Quinn in DC movies",Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/5/57/SYDNEY%2C_AUSTRALIA_-_JANUARY_23_Margot_Robbie_arrives_at_the_Australian_Premiere_of_%27I%2C_Tonya%27_on_January_23%2C_2018_in_Sydney%2C_Australia_%2828074883999%29_%28cropped_2%29.jpg,clear winter,cool,blue with a greyish tint,blonde,high,#b000b5,#00ffff,#ff0800,#ffd300,#8a2be2,#d2b48c,#a0522d,#8b4513,#f4a460,#f5f5dc
36,Marilyn Monroe,Iconic roles in 1950s and 1960s cinema,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg,clear winter,cool,blue-gray,platinum blonde,high,#6a93ab,#005b96,#494e6b,#9b1b30,#d22630,#d2b48c,#a0522d,#8b4513,#f4a460,#ffd700
37,Minho (Choi Min-ho),Member of SHINee,K-pop/Asian Celebrities,,clear winter,cool,"dark brown with hints of charcoal, adding to the overall cool and intense look that defines clear winters.",natural black,high,#0a75ad,#d6001c,#009b76,#7c2439,#333399,#ffd700,#ffa07a,#f4c430,#996515,#ff6347
38,Neymar Jr.,Football,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/b/bb/Neymar_Jr._with_Al_Hilal%2C_3_October_2023_-_03_%28cropped%29.jpg,clear winter,cool,deep brown,natural dark brown,high,#0a75ad,#c0003c,#009b77,#7c2439,#005b9a,#f4c2a0,#a67b5b,#f0e68c,#ffdbac,#996515
39,Stephen Colbert,The Late Show with Stephen Colbert,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/StephenColbert-byPhilipRomano.jpg/1280px-StephenColbert-byPhilipRomano.jpg,clear winter,cool,blue with hints of gray,"salt and pepper, originally dark brown",high,#005b96,#c0007f,#0093b2,#d7003a,#7f00ff,#c2b280,#987654,#7c4916,#d2b48c,#ffdbac
40,Valentino Garavani,Valentino,Fashion Designers/Style Icons,,clear winter,cool,dark brown with hints of charcoal,silver grey,high,#00aeef,#ff3e55,#ffffff,#b2335e,#7f00ff,#c2b280,#987654,#7f6a55,#ffcc99,#996633
41,Alex Morgan,Soccer,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Alex_Morgan_May19.jpg/1259px-Alex_Morgan_May19.jpg,cool summer,cool,light blue with gray undertones,dark brown with subtle cool highlights,low,#6a7ba2,#a0acc0,#b4c7d9,#6195ed,#4a657d,#f2c200,#d2691e,#ff6347,#8b4513,#006400
42,Alexa Chung,Fashion design and influencing,Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/0/03/Alexa-chung-hair-first-look-at-her-l-oreal-campaign-35539_w1000.jpg,cool summer,cool,hazel with flecks of green and gray,dark brown with subtle cool highlights,low,#b4c7d9,#99b4c1,#7a99ae,#5e7f93,#637d8c,#ffd700,#ff8c00,#ff6347,#ff4500,#8b4513
43,Anne Hathaway,"Les Misérables, The Devil Wears Prada",Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Anne_Hathaway_at_The_Apprentice_in_NYC_03_%28cropped2%29.jpg/1114px-Anne_Hathaway_at_The_Apprentice_in_NYC_03_%28cropped2%29.jpg,cool summer,cool,dark brown with lighter flecks around the iris,natural dark brown,medium,#b4c6d8,#a8b1d4,#99a3c2,#8897b1,#7986a0,#ffd700,#ff8c00,#ff4500,#8b4513,#800000
44,Barbara Palvin,"High-fashion campaigns, acting",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Barbara_Palvin_scowling_for_Chaos.jpg/1280px-Barbara_Palvin_scowling_for_Chaos.jpg,cool summer,cool,light blue with grayish undertones,light brown with subtle ash blonde highlights,low,#b4c6d8,#6998ab,#95a9b8,#c5a3b5,#9e8296,#ffd700,#ff6347,#8b4513,#ff4500,#daa520
45,Benedict Cumberbatch,Doctor Strange in Marvel movies,Hollywood Actors,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Benedict_Cumberbatch-67555.jpg/1280px-Benedict_Cumberbatch-67555.jpg,cool summer,cool,green with flecks of gold,auburn,medium,#6a8a8c,#99b4b7,#a8b6bf,#617c92,#495c6b,#ffd700,#ff8c00,#ff4500,#8b4513,#800000
46,Brie Larson,Captain Marvel in Marvel movies,Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Captain_Marvel_trailer_at_the_National_Air_and_Space_Museum_4_%28cropped%29.jpg/1025px-Captain_Marvel_trailer_at_the_National_Air_and_Space_Museum_4_%28cropped%29.jpg,cool summer,cool,light hazel with flecks of green,dirty blonde,low,#b4c7d9,#a8acc0,#99a8b2,#8797a4,#7691a8,#ffd700,#ff8c00,#8b4513,#800000,#ff6347
47,Cara Delevingne,"Runway shows, acting in major films",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/8/8a/Cara_Delevingne_for_Rimmel_London_2.jpg,cool summer,cool,"blue-green with a soft, greyish undertone",ash blonde,medium,#b4c7d9,#a3acc9,#6a7988,#99a8b2,#c5c6d0,#ffd700,#ff8c00,#8b4513,#800000,#006400
48,"Charlene, Princess of Monaco",Princess of Monaco,Royal Family Members/Public Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Charlene%2C_Princess_of_Monaco-6.jpg/1280px-Charlene%2C_Princess_of_Monaco-6.jpg,cool summer,cool,light blue,ash blonde,low,#b4c7d9,#a8acc0,#6a7a8f,#99c1d9,#d1dde6,#ffd700,#ff8c00,#8b4513,#800000,#ffff00
49,Chris Evans,Captain America in Marvel movies,Hollywood Actors,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Chris_Evans_at_the_2025_Toronto_International_Film_Festival_%28cropped%29.jpg/1108px-Chris_Evans_at_the_2025_Toronto_International_Film_Festival_%28cropped%29.jpg,cool summer,cool,blue with a greyish tint,light ash brown,low,#c5b9cd,#9fb7d4,#7897af,#6b8194,#95a9b8,#ffd700,#ff8c00,#8b4513,#800000,#008000
50,Dara,2NE1,K-pop/Asian Celebrities,,cool summer,cool,dark brown with flecks of lighter brown,ash brown,medium,#b4c6d8,#a4b8c4,#99a3ae,#6d7f8d,#8fa2ad,#ffa07a,#ffd700,#ff4500,#8b4513,#800000
51,Donatella Versace,Versace,Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/8/87/Donatellaversace_%28cropped%29.jpg,cool summer,cool,light blue with a grey undertone,platinum blonde,low,#b4c6d8,#a8b1bd,#99a3af,#899ba7,#798593,#ffd700,#ff8c00,#ff4500,#8b4513,#800000
52,Fred Astaire,Dancing and acting in classic Hollywood musicals,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Astaire%2C_Fred_-_Never_Get_Rich.jpg/1094px-Astaire%2C_Fred_-_Never_Get_Rich.jpg,cool summer,cool,"blue-gray, with a soft, muted quality",light to medium ash brown,low,#6b7b8c,#99a3a4,#a4bac3,#c8cdd0,#9fa9ad,#ffd700,#ff8c00,#8b4513,#800000,#ffff00
53,Ingrid Bergman,Starring roles in 'Casablanca' and 'Notorious',Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/c/c0/Ingrid_Bergman%2C_Gaslight_1944.jpg,cool summer,cool,light blue with hints of grey,light ash brown,low,#b4c7d9,#a8acc0,#99a3ae,#d5d6db,#c0c8d1,#ffd700,#ff8c00,#8b4513,#d2691e,#ff6347
54,Jacinda Ardern,Former Prime Minister of New Zealand,Public Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/New_Zealand_Prime_Minister_Jacinda_Ardern_in_2018.jpg/1280px-New_Zealand_Prime_Minister_Jacinda_Ardern_in_2018.jpg,cool summer,cool,hazel with flecks of green and gray,soft ash brown,medium,#b4c6d8,#6a7b8b,#9fb6c6,#c5aeb6,#d4afcd,#ffd700,#ff8c00,#8b4513,#006400,#ff6347
55,James Corden,The Late Late Show with James Corden,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/6/6f/James_Corden_at_2015_PaleyFest_%28cropped%29.jpg,cool summer,cool,blue with gray tones,light brown with subtle blonde highlights,low,#b4c7d9,#a8bbc8,#99aab8,#889ba7,#778b97,#ffd700,#ff8c00,#ff4500,#8b4513,#800000
56,James Dean,Symbol of teenage disillusionment and social estrangement,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/e/e6/James_Dean_in_Rebel_Without_a_Cause.jpg,cool summer,cool,light blue with gray undertones,light ash brown,low,#6a8a8d,#99b4b7,#a7acc4,#c5cbe1,#d1d6e1,#ffd700,#ff8c00,#8b4513,#800000,#ff6347
57,Jean Simmons,Roles in classic films from the 1940s to the 1960s,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Studio_publicity_Jean_Simmons.jpg/1280px-Studio_publicity_Jean_Simmons.jpg,cool summer,cool,hazel with flecks of green and gray,dark brown with ash tones,medium,#b4c6d8,#6a7b8f,#99b4c1,#d5c7e8,#a093b0,#ffd700,#ff8c00,#8b4513,#ff6347,#800000
58,John Oliver,Last Week Tonight with John Oliver,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/John_Oliver_November_2016.jpg/1280px-John_Oliver_November_2016.jpg,cool summer,cool,light hazel with flecks of green,dark ash brown,medium,#b4c7d9,#9fafc4,#8599af,#6f829a,#d5bec7,#ffd700,#ff8c00,#ff6347,#8b4513,#ff4500
59,Kim Taehyung (V),Member of BTS,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/d/d4/BTS%27s_V_20251004_04.jpg,cool summer,cool,"dark brown with a soft, muted quality, reflecting subtle hues of grey under certain lighting conditions, which complements his cool and soft appearance.",natural dark brown,low,#b4a8c7,#99a3cc,#a8acc7,#c7b8d9,#d9c2e8,#ffd700,#ff8c00,#8b4513,#ff6347,#800000
60,Krystal Jung,"Singer, actress, former member of f(x)",K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Krystal_at_Incheon_International_Airport_on_01042025_%281%29.jpg/1280px-Krystal_at_Incheon_International_Airport_on_01042025_%281%29.jpg,cool summer,cool,dark gray-brown,dark ash brown,medium,#b4c6d8,#6b7e8f,#a7acc1,#678693,#9eadb6,#f2c200,#ff8c00,#ff6347,#8b4513,#800000
61,Lady Gaga,"Pop music, actress",Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Lady_Gaga_at_Joe_Biden%27s_inauguration_%28cropped_5%29.jpg/1280px-Lady_Gaga_at_Joe_Biden%27s_inauguration_%28cropped_5%29.jpg,cool summer,cool,hazel with a grayish undertone,ash blonde,medium,#b4c6d8,#99a3b2,#d1c4dd,#a7acc0,#c1dad6,#ffd700,#ff8c00,#8b4513,#800000,#006400
62,Lara Stone,"High-profile modeling, distinctive gap-tooth",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/6/60/Lara_Stone_NYC.jpg,cool summer,cool,light blue with a greyish tint,ash blonde,low,#b4c6d8,#a7acc4,#99a3b0,#6d8297,#c5afcb,#ffd700,#ff8c00,#8b4513,#800000,#ff6347
63,Lily Aldridge,"Victoria's Secret Angel, high-profile ad campaigns",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/5/5d/Lily_Aldridge_in_2014_%28cropped%29.jpg,cool summer,cool,light hazel with flecks of green and gray,dark chestnut with subtle ash tones,medium,#6b7b8c,#a5afc4,#c4c6d8,#d9d2e9,#9fafba,#ffd700,#ff8c00,#8b4513,#ff6347,#800000
64,Manny MUA,Beauty blogger and makeup artist,Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/4/4f/Manny_MUA_2021.png,cool summer,cool,dark brown with subtle cool undertones,black,medium,#b4c6d8,#a8acc0,#99afc4,#d1d8dd,#c8b6c1,#f2d7b4,#e6b887,#ffd700,#ff8c00,#8b4513
65,Maria Sharapova,Tennis,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Maria_Sharapova_during_opening_night_of_Web_Summit_2025_at_the_MEO_Arena_in_Lisbon%2C_Portugal.jpg/1280px-Maria_Sharapova_during_opening_night_of_Web_Summit_2025_at_the_MEO_Arena_in_Lisbon%2C_Portugal.jpg,cool summer,cool,green with flecks of gold,dirty blonde,low,#b4c7d9,#a8acc0,#99a3ae,#c5cde0,#d1c4ce,#ffd700,#ff6347,#8b4513,#ff4500,#800000
66,Megyn Kelly,"The Megyn Kelly Show, journalist",TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Megyn_Kelly_%2854670579634%29_%28cropped%29.jpg/1280px-Megyn_Kelly_%2854670579634%29_%28cropped%29.jpg,cool summer,cool,light blue with grayish undertones,ash blonde,low,#6b7b8b,#a0aab5,#9b90c2,#7897a1,#677e8c,#ffd700,#ff8c00,#8b4513,#ff6347,#800000
67,Phoebe Philo,Celine,Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/c/c4/Phoebe_Philo_2.jpg,cool summer,cool,grey-blue,ashy light brown,low,#b4a8b2,#99b4c1,#a8acc4,#6a7989,#d6c4c9,#ffd700,#ff8c00,#8b4513,#ff6347,#800000
68,Prince William,Duke of Cambridge,Royal Family Members/Public Figures,https://upload.wikimedia.org/wikipedia/commons/a/a7/Prince_of_Wales_at_State_Banquet_2025-09-17_%280.75_crop%29.jpg,cool summer,cool,blue with grey tones,light brown with natural blonde highlights,low,#b4c6d8,#a8acc0,#99a3b2,#8599a8,#6d8396,#ffa07a,#ffd700,#ff6347,#ff4500,#8b4513
69,Princess Victoria of Sweden,Crown Princess of Sweden,Royal Family Members/Public Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/2025-11-18_Event%2C_Besuch_der_Kronprinzessin_Victoria_von_Schweden_beim_deutschen_Bundespr%C3%A4sidenten_Frank-Walter_Steinmeier_im_November_2025_STP_9817-2.jpg/1280px-2025-11-18_Event%2C_Besuch_der_Kronprinzessin_Victoria_von_Schweden_beim_deutschen_Bundespr%C3%A4sidenten_Frank-Walter_Steinmeier_im_November_2025_STP_9817-2.jpg,cool summer,cool,light blue with grey hints,dark blonde with subtle ash tones,low,#b4c6d8,#a8acc0,#99a8b2,#d1d6dd,#c2b5c9,#ffd700,#ff8c00,#8b4513,#800000,#008000
70,Rosalia,Flamenco and urban music,Musicians/Singers,,cool summer,cool,deep hazel with flecks of green,natural dark brown,medium,#b4a8c7,#a8acc4,#99b4c1,#89a7b5,#79899a,#ffd700,#ff8c00,#ff4500,#dc143c,#8b0000
